"YEAR","MONTH","DAY","STID","TAVG","HAVG","RAIN"
1998,5,4,GOOD,63.51,60.14,0.00
1998,5,4,MIAM,64.17,71.20,0.00
1998,5,4,TIPT,70.86,53.79,0.00
1998,5,4,WIST,63.15,71.94,0.00
1998,5,5,GOOD,61.68,69.07,0.00
1998,5,5,MIAM,65.94,79.64,0.95
1998,5,5,TIPT,72.67,70.30,0.00
1998,5,5,WIST,65.60,82.78,0.54
1998,5,6,GOOD,61.88,70.98,0.00
1998,5,6,MIAM,67.26,87.80,0.16
1998,5,6,TIPT,73.92,64.16,0.00
1998,5,6,WIST,72.41,80.56,1.22
1998,5,7,GOOD,59.68,62.42,0.00
1998,5,7,MIAM,64.61,82.02,0.04
1998,5,7,TIPT,71.23,58.20,0.00
1998,5,7,WIST,68.34,77.22,0.00
1998,5,8,GOOD,55.99,79.51,0.65
1998,5,8,MIAM,63.25,70.71,0.00
1998,5,8,TIPT,69.01,66.52,0.02
1998,5,8,WIST,67.24,71.19,0.01
1998,5,9,GOOD,54.28,81.51,0.01
1998,5,9,MIAM,61.48,84.08,0.86
1998,5,9,TIPT,65.11,68.31,0.01
1998,5,9,WIST,66.79,78.17,1.40
1998,5,10,GOOD,59.20,73.52,0.00
1998,5,10,MIAM,64.30,84.25,0.00
1998,5,10,TIPT,67.02,63.70,0.00
1998,5,10,WIST,66.38,79.92,0.00
1998,5,11,GOOD,68.90,43.89,0.00
1998,5,11,MIAM,69.27,75.65,0.00
1998,5,11,TIPT,75.88,51.46,0.00
1998,5,11,WIST,70.39,72.61,0.00
1998,5,12,GOOD,63.02,58.24,0.00
1998,5,12,MIAM,74.62,73.18,0.00
1998,5,12,TIPT,77.83,42.58,0.00
1998,5,12,WIST,75.76,64.20,0.00
1998,5,13,GOOD,72.97,55.80,0.00
1998,5,13,MIAM,74.94,73.63,0.00
1998,5,13,TIPT,77.15,67.66,0.00
1998,5,13,WIST,71.55,76.44,0.00
1998,5,14,GOOD,74.85,44.19,0.00
1998,5,14,MIAM,74.37,79.20,0.00
1998,5,14,TIPT,80.17,69.26,0.00
1998,5,14,WIST,76.47,79.16,0.00
1998,5,15,GOOD,64.68,36.31,0.00
1998,5,15,MIAM,75.07,71.04,0.03
1998,5,15,TIPT,73.07,51.53,0.12
1998,5,15,WIST,75.76,69.93,0.00
1998,5,16,GOOD,69.12,36.23,0.00
1998,5,16,MIAM,70.60,68.21,0.00
1998,5,16,TIPT,76.18,41.64,0.00
